epoch,val_loss,miou,f1
1,0.7438083787102344,0.2726213045802385,0.41180378783038796
2,0.7381744610869195,0.29013729998511156,0.43321545328543243
3,0.7382298861653351,0.2831199079312404,0.4240519736800872
4,0.7327721892309583,0.2825939189692698,0.4239563871230853
5,0.7363709703949858,0.2875361505586054,0.43034605805739023
6,0.7343946968228364,0.2938330868815172,0.43775714942800603
7,0.7317853839929439,0.2936931833183908,0.43734259575916035
8,0.7418514665493295,0.2924831323928546,0.43479158409986857
9,0.7381987701270206,0.292211507929953,0.43479777126011876
10,0.7393860500213528,0.2938971430486576,0.437517621880782
11,0.7486137731016175,0.2918082911359562,0.4346834650663428
12,0.748735541942691,0.297016004702338,0.44062971907152126
13,0.7454696097157218,0.2895290618536068,0.43210387766419683
14,0.7535173392000277,0.2963306012224324,0.4401136689157945
15,0.7636412182622705,0.29428097802400854,0.437109024019362
16,0.7635718499826005,0.2955761707653768,0.43890189968221743
17,0.7734057798365916,0.2901082178223724,0.43235176257665986
18,0.7872812756822128,0.2898275313633995,0.43147737295988287
19,0.7931801114200561,0.2939335862491525,0.43569869352383145
20,0.8055358157670203,0.29569855368011133,0.4387678606520322
21,0.799279870326854,0.2919646597852207,0.4342297267830692
22,0.8309622310902461,0.2868128136353575,0.42735930320321897
23,0.7895376658144077,0.29307390950405626,0.4351292771394057
24,0.8006129869252196,0.2889762319616727,0.43018797521656454
25,0.8110070872405344,0.29180752725512643,0.4334794707471228
26,0.8160644222882169,0.29075494502047616,0.43193860313400995
27,0.8213814599454895,0.29061811482458044,0.432100417457431
28,0.8323234345794709,0.2954878432229777,0.4382117412545649
29,0.8109897556876348,0.29272497433611994,0.43499853774301
30,0.8498734866784624,0.2939804194323826,0.4362041818682289
31,0.8309564166817783,0.2793657669462725,0.41777967644320446
32,0.8211896959415153,0.28935205913601014,0.42982597792615407
33,0.8318398503232594,0.28552385756254295,0.4253537051993507
34,0.8673684530514331,0.29164793026317987,0.43374027152938294
35,0.9147587898348973,0.2914122586497895,0.43252998595833725
36,0.8664536662338194,0.2859543150651157,0.426633734126481
37,0.8506612743227935,0.29072315878725963,0.4322711142787829
38,0.8944115845132465,0.29301693151572195,0.4346512270224481
39,0.8719052231016238,0.2933739139819191,0.43589012590133536
40,0.9303373898849014,0.2937958858249861,0.435517554803634
41,0.9314777858001142,0.2862506700732335,0.42581132829577995
42,0.8620127652302261,0.287995154380679,0.42893684817091293
43,0.9034601099727567,0.29272133723071636,0.4344713423801355
44,0.9191599436042722,0.29053535530157726,0.43180728254246636
45,0.841641403771629,0.29078266055049945,0.431578526696139
46,0.8967289266014887,0.2888203235558611,0.4296795851804993
47,0.9813257765671438,0.2887791126373576,0.4292958177083984
48,0.9287405452945016,0.28814643767762405,0.4289783678360068
